role,lead_time_seconds,onnx_file,export_method,opset_version,file_size_bytes,cpu_provider_active,input_name,input_type,input_shape,output_name,output_type,output_shape,test_sequence_count,maximum_probability_difference,probabilities_match,predicted_classes_match,accepted_flags_match,output_labels_match,single_sequence_batch_supported,probabilities_valid
primary,1.0,primary_1.0s_gru.onnx,keras.Model.export(format='onnx'),17,28938,True,causal_sequence,tensor(float),"['unk__174', 48, 6]",Identity:0,tensor(float),"['unk__175', 3]",58,1.7881393432617188e-07,True,True,True,True,True,True
secondary,0.5,secondary_0.5s_gru.onnx,keras.Model.export(format='onnx'),17,28990,True,causal_sequence,tensor(float),"['unk__347', 48, 6]",Identity:0,tensor(float),"['unk__348', 3]",58,1.341104507446289e-07,True,True,True,True,True,True
