scenario_id,baseline_status,baseline_hard_validity_eligible,baseline_safety_failure_type,mappo_travel_time,baseline_travel_time,difference_mappo_minus_baseline,mappo_mean_completion,baseline_completion,mappo_collisions,baseline_collisions,mappo_blocked_zone_violations,baseline_blocked_zone_violations,mappo_native_sumo_safety_interventions,baseline_native_sumo_safety_interventions,baseline_unresolved_coordination_case
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""N_IN_0_STRAIGHT"", ""W_IN_0_RIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,600.0,141.07999999999998,458.92,0,3,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""S_IN_0_LEFT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,304.0,148.76,155.24,2,3,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""S_IN_0_RIGHT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",HARD_SAFETY_FAILURE,False,BLOCKED_VEHICLE_ENTERED_CONFLICT_ZONE,241.98666666666665,,,2.3333333333333335,,0,,0,,0,,False
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_LEFT"", ""W_IN_0_RIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,299.24,97.72,201.52,0.6666666666666666,2,0,0,0,0,0,0,False
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_RIGHT"", ""N_IN_0_LEFT"", ""S_IN_0_RIGHT"", ""W_IN_0_STRAIGHT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,491.1466666666667,184.56,306.5866666666667,2,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_RIGHT"", ""N_IN_0_RIGHT"", ""S_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,140.72,140.72,0.0,3,3,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_RIGHT"", ""N_IN_0_RIGHT"", ""S_IN_0_LEFT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,394.96,192.44,202.51999999999998,2.6666666666666665,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_RIGHT"", ""N_IN_0_RIGHT"", ""S_IN_0_RIGHT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,388.8,182.4,206.4,2.6666666666666665,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_RIGHT"", ""N_IN_0_STRAIGHT"", ""S_IN_0_RIGHT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,338.88,185.4,153.48,3,4,0,0,0,0,0,0,True
"[""NEGOTIATION_SCENARIO_V1"", ""intersection.net.xml:9316"", ""REGULATORY_CYCLE"", [""E_IN_0_RIGHT"", ""N_IN_0_STRAIGHT"", ""S_IN_0_STRAIGHT"", ""W_IN_0_LEFT""], ""ISOLATED_LDM_IN_APPROACH_ZONE_STEP_ALIGNMENT"", ""AV"", ""DE_STVO_UNCONTROLLED_4WAY_V1""]",COMPLETE,True,,595.7866666666666,191.84,403.9466666666666,1.3333333333333333,4,0,0,0,0,0,0,True
